word,wins,total,win_rate,deviation,ci_lo,ci_hi,ci_half
gains,88,162,0.5432098765432098,0.043209876543209846,0.466389374343993,0.6180285999041508,0.0758196127800789
prioritizes,114,210,0.5428571428571428,0.042857142857142816,0.47531442949248526,0.6088600804424332,0.06677282547497398
professionalism,348,643,0.5412130637636081,0.041213063763608115,0.5025668558600188,0.579369759793264,0.03840145196662259
operational,61,113,0.5398230088495575,0.03982300884955747,0.44813144015193007,0.6288960130383923,0.0903822864432311
communities,75,139,0.539568345323741,0.03956834532374098,0.45675878075496973,0.6202496738688945,0.08174544655696239
direct,55,102,0.5392156862745098,0.039215686274509776,0.44281961379120005,0.632765134275744,0.09497276024227197
original,62,115,0.5391304347826087,0.03913043478260869,0.4482376584453216,0.6274934886586452,0.08962791510666179
most,120,223,0.5381165919282511,0.03811659192825112,0.4725908205003875,0.6023513884255285,0.0648802839625705
tool,144,268,0.5373134328358209,0.03731343283582089,0.4775120808801657,0.5960602141139982,0.059274066616916254
accountability,253,471,0.5371549893842887,0.03715498938428874,0.49200557491351193,0.5817032374697311,0.04484883127810957
power,80,149,0.5369127516778524,0.03691275167785235,0.4569279368154242,0.6150420645498771,0.07905706386722644
harmful,66,123,0.5365853658536586,0.03658536585365857,0.4486898633729702,0.6222648550895681,0.08678749585829895
here,67,125,0.536,0.03600000000000003,0.44880835644487477,0.6210449352081258,0.0861182893816255
present,82,153,0.5359477124183006,0.03594771241830064,0.457014194581037,0.6131203226742222,0.07805306404659262
health,90,168,0.5357142857142857,0.0357142857142857,0.4603451940164348,0.609486615387146,0.07457071068535559
erode,60,112,0.5357142857142857,0.0357142857142857,0.44370351423722987,0.6253563895437027,0.09082643765323639
directly,68,127,0.5354330708661418,0.03543307086614178,0.44892855114214497,0.6198569858055412,0.0854642173316981
personal,121,226,0.5353982300884956,0.03539823008849563,0.4703257023069361,0.5992875001244062,0.06448089890873507
medical,76,142,0.5352112676056338,0.035211267605633756,0.45333200298030085,0.6152356051666704,0.08095180109318478
systemic,183,342,0.5350877192982456,0.03508771929824561,0.4821302163281636,0.5872657435484777,0.05256776361015705
security,84,157,0.535031847133758,0.035031847133757954,0.4571090602704508,0.6112812669539669,0.07708610334175806
competence,77,144,0.5347222222222222,0.03472222222222221,0.45341232301081896,0.6142277021875813,0.08040768958838115
foundation,173,324,0.5339506172839507,0.03395061728395066,0.47955271698791424,0.587552889725581,0.054000086368833355
potentially,95,178,0.5337078651685393,0.0337078651685393,0.4604848538166716,0.6055066977130191,0.07251092194817377
protocols,112,210,0.5333333333333333,0.033333333333333326,0.46586592019407264,0.5996031430886418,0.06686861144728459
maintain,129,242,0.5330578512396694,0.03305785123966942,0.47017440032655816,0.5949081942722221,0.06236689697283196
principles,106,199,0.5326633165829145,0.03266331658291455,0.4633807968935939,0.6007086652685354,0.06866393418747074
community,60,113,0.5309734513274337,0.030973451327433676,0.43946269655912307,0.6204475448111277,0.09049242412600234
preserve,124,234,0.5299145299145299,0.02991452991452992,0.46599939451976324,0.5928633456829634,0.06343197558160008
prioritizing,117,221,0.5294117647058824,0.02941176470588236,0.4636653307820549,0.5941531875116162,0.06524392836478063
without,453,856,0.5292056074766355,0.029205607476635476,0.49571174445830524,0.5624385104370295,0.033363382989362145
honor,64,121,0.5289256198347108,0.02892561983471076,0.44047003362678394,0.6156010830208827,0.08756552469704937
nature,64,121,0.5289256198347108,0.02892561983471076,0.44047003362678394,0.6156010830208827,0.08756552469704937
become,56,106,0.5283018867924528,0.028301886792452824,0.4339517346801943,0.6206724487967789,0.09336035705829226
high,84,159,0.5283018867924528,0.028301886792452824,0.45095898793596156,0.6043094926167089,0.07667525234037365
enduring,57,108,0.5277777777777778,0.02777777777777779,0.43429667413386164,0.6193506947691074,0.0925270103176229
inherently,139,264,0.5265151515151515,0.02651515151515149,0.46633826888724145,0.5859314583672396,0.05979659473999907
enable,53,101,0.5247524752475248,0.024752475247524774,0.42824984362727647,0.6194412134816415,0.09559568492718251
protection,302,576,0.5243055555555556,0.02430555555555558,0.48349522481983154,0.564793836912573,0.04064930604637074
cooperation,473,903,0.5238095238095238,0.023809523809523836,0.49120281318396475,0.5562145160324559,0.03250585142424556
problem,101,193,0.5233160621761658,0.023316062176165775,0.4530866023723858,0.5926354729156166,0.06977443527161539
accept,79,151,0.5231788079470199,0.023178807947019875,0.4439319969642876,0.6012755337145986,0.07867176837515552
safeguards,173,331,0.5226586102719033,0.0226586102719033,0.46889823821518534,0.5758990818443729,0.053500421814593774
world,82,157,0.5222929936305732,0.022292993630573243,0.4445641094177636,0.5989570079068659,0.07719644924455116
open,60,115,0.5217391304347826,0.021739130434782594,0.4312239832374924,0.6108488762647113,0.08981244651360945
aligns,132,253,0.5217391304347826,0.021739130434782594,0.4603224856543679,0.5825054909912534,0.06109150266844274
against,86,165,0.5212121212121212,0.021212121212121238,0.44537724656787314,0.5960817650332635,0.07535225923269517
manipulation,74,142,0.5211267605633803,0.021126760563380254,0.43949288629593974,0.6016476785922429,0.08107739614815157
sustainability,415,797,0.520702634880803,0.02070263488080304,0.4860034950130953,0.555203162854737,0.03459983392082086
data,571,1097,0.5205104831358249,0.02051048313582493,0.4909274108570493,0.5499504100493394,0.029511499596145074
undermines,118,227,0.5198237885462555,0.01982378854625555,0.4550435500710173,0.5839442472075935,0.0644503485682881
convenience,66,127,0.5196850393700787,0.019685039370078705,0.43349828295507575,0.6047159042380832,0.08560881064150372
justice,357,687,0.519650655021834,0.01965065502183405,0.4822854827574506,0.5567972903669222,0.037255903804735785
critical,159,306,0.5196078431372549,0.019607843137254943,0.4637335617232939,0.5749959228514108,0.05563118056405844
creates,106,204,0.5196078431372549,0.019607843137254943,0.4513213240515907,0.5871695528186571,0.06792411438353321
trade,80,154,0.5194805194805194,0.01948051948051943,0.4410618703575967,0.5969509562142604,0.07794454292833186
patient,54,104,0.5192307692307693,0.019230769230769273,0.42424497820417756,0.6128465081661129,0.09430076498096765
analysis,56,108,0.5185185185185185,0.01851851851851849,0.42527864654226755,0.6104862660597117,0.09260380975872207
responsibility,249,481,0.5176715176715176,0.017671517671517645,0.4730531243723857,0.5620098837320573,0.04447837967983578
address,89,172,0.5174418604651163,0.01744186046511631,0.44320260342575635,0.5909190425173556,0.07385821954579963
over,432,835,0.5173652694610779,0.01736526946107786,0.4834701321508002,0.5511013589159033,0.03381561338255154
through,333,644,0.5170807453416149,0.017080745341614856,0.47849976348363427,0.5554591622696632,0.03847969939301446
ensure,125,242,0.5165289256198347,0.016528925619834656,0.4538027621837181,0.5787385351156721,0.06246788646597698
time,159,308,0.5162337662337663,0.016233766233766267,0.46056802866929164,0.571499548354679,0.05546575984269367
sensitive,96,186,0.5161290322580645,0.016129032258064502,0.44471387940871215,0.5868914403000192,0.0710887804456535
