word,wins,total,win_rate,deviation,ci_lo,ci_hi,ci_half
ultimately,96,185,0.518918918918919,0.018918918918918948,0.44727097688374406,0.5897971544668327,0.0712630887915443
stance,69,133,0.518796992481203,0.018796992481203034,0.43455287512403684,0.6019857590230282,0.08371644194949568
society,86,166,0.5180722891566265,0.01807228915662651,0.44251529566074355,0.5928117678351862,0.07514823608722132
access,188,363,0.5179063360881543,0.017906336088154284,0.46658560760766227,0.568852044509936,0.05113321845113686
actively,73,141,0.5177304964539007,0.01773049645390068,0.43588250282300667,0.5986380000821023,0.08137774862954783
compass,75,145,0.5172413793103449,0.017241379310344862,0.43651693345574205,0.5970758574213172,0.08027946198278757
change,75,145,0.5172413793103449,0.017241379310344862,0.43651693345574205,0.5970758574213172,0.08027946198278757
protocols,155,300,0.5166666666666667,0.01666666666666672,0.4602663137927717,0.5726455871664101,0.0561896366868192
time,253,490,0.5163265306122449,0.01632653061224487,0.4721243124483483,0.5602747494655873,0.04407521850861951
share,95,184,0.5163043478260869,0.016304347826086918,0.44450547468405033,0.5874363556108652,0.07146544046340741
collaborative,82,159,0.5157232704402516,0.01572327044025157,0.43859396977753484,0.5921107416406154,0.07675838593154027
cannot,266,516,0.5155038759689923,0.015503875968992276,0.4724282165593793,0.558350398205779,0.04296109082319988
context,188,365,0.5150684931506849,0.015068493150684925,0.4639077040625722,0.5659154075669354,0.051003851752181584
entire,86,167,0.5149700598802395,0.014970059880239472,0.43969044583488387,0.5895764548022016,0.07494300448365884
serve,70,136,0.5147058823529411,0.014705882352941124,0.43146624550741874,0.5971375750886523,0.08283566479061677
technology,88,171,0.5146198830409356,0.014619883040935644,0.44021640613095836,0.5883809301857539,0.07408226202739776
foster,53,103,0.5145631067961165,0.014563106796116498,0.4192695708623863,0.608809416762022,0.09476992294981787
cooperative,125,243,0.51440329218107,0.014403292181069949,0.4518298416188187,0.5765284416024972,0.06234929999183925
creating,90,175,0.5142857142857142,0.014285714285714235,0.44072838264763026,0.5872293405389881,0.07325047894567893
adaptive,108,210,0.5142857142857142,0.014285714285714235,0.44704093368156245,0.5810172362967436,0.06698815130759059
long,470,914,0.5142231947483589,0.01422319474835887,0.4818296828312372,0.5464976494657878,0.0323339833172753
higher,146,284,0.5140845070422535,0.014084507042253502,0.45615726067352524,0.5716358169212609,0.05773927812386781
implement,73,142,0.5140845070422535,0.014084507042253502,0.4325969169065103,0.5948301263522782,0.08111660472288393
foundation,128,249,0.5140562248995983,0.014056224899598346,0.45223640153851413,0.5754489315261243,0.06160626499380509
openly,56,109,0.5137614678899083,0.013761467889908285,0.4210730542514851,0.6055129189480197,0.09221993234826731
today,56,109,0.5137614678899083,0.013761467889908285,0.4210730542514851,0.6055129189480197,0.09221993234826731
engagement,151,294,0.5136054421768708,0.013605442176870763,0.4566667791348616,0.5701931483973096,0.05676318463122401
causing,57,111,0.5135135135135135,0.013513513513513487,0.4216469238103697,0.6044760463330521,0.09141456126134118
deception,153,298,0.5134228187919463,0.01342281879194629,0.45686562596813923,0.56963835407243,0.056386364052145393
first,134,261,0.5134099616858238,0.013409961685823757,0.45301896964169136,0.573411937479762,0.06019648391903534
lives,115,224,0.5133928571428571,0.013392857142857095,0.4482664830542997,0.5780676179958602,0.06490056747078021
short,260,507,0.5128205128205128,0.012820512820512775,0.4693796750712406,0.5560685335178022,0.04334442922328077
student,81,158,0.5126582278481012,0.012658227848101222,0.43534951670259586,0.5893660291726528,0.07700825623502847
human,570,1112,0.512589928057554,0.01258992805755399,0.48321877739691094,0.5418743931235612,0.029327807863325145
patient,143,279,0.5125448028673835,0.012544802867383464,0.45412231041843215,0.5706265366183015,0.058252113099934694
psychological,83,162,0.5123456790123457,0.012345679012345734,0.4359846718982879,0.5881347493154678,0.07607503870858998
robust,125,244,0.5122950819672131,0.012295081967213073,0.44987422449488884,0.5743348002120742,0.062230287858592664
dilemma,125,244,0.5122950819672131,0.012295081967213073,0.44987422449488884,0.5743348002120742,0.062230287858592664
